left_player,right_player
0.0,-0.01
-0.01,0.0
0.0,-0.01
0.0,-0.01
0.0,-0.01
0.0,-0.01
-0.01,0.0
0.0,-0.01
-0.01,0.0
-0.01,0.0
-0.01,0.0
0.0,-0.01
-0.01,0.0
-0.01,0.0
0.0,-0.01
0.0,-0.01
0.0,-0.01
-0.01,0.0
0.0,-0.01
-0.01,0.0
0.0,-0.01
0.0,-0.01
0.0,-0.01
-0.01,0.0
0.0,-0.02
0.0,-0.01
-0.01,0.0
-0.01,0.0
0.0,-0.01
0.0,-0.01
0.0,-0.01
-0.01,0.0
-0.01,0.0
-0.01,0.0
0.0,-0.01
0.0,-0.01
0.0,-0.01
-0.01,0.0
-0.01,0.0
0.0,-0.01
0.0,-0.01
-0.01,0.0
0.0,-0.01
0.0,-0.01
0.0,-0.01
-0.01,0.0
0.0,-0.01
0.0,-0.01
-0.01,0.0
-0.01,0.0
-0.01,0.0
0.0,-0.01
0.0,-0.01
-0.01,0.0
0.0,-0.01
0.0,-0.01
-0.01,0.0
-0.01,0.0
0.0,-0.01
0.0,-0.01
-0.01,0.0
0.0,-0.01
0.0,-0.01
0.0,-0.01
0.0,-0.01
0.0,-0.01
-0.01,0.0
-0.01,0.0
0.0,-0.01
-0.01,0.0
-0.01,0.0
0.0,-0.01
0.0,-0.01
-0.01,0.0
-0.01,0.0
-0.01,0.0
-0.01,0.0
0.0,-0.01
-0.01,0.0
0.0,-0.01
-0.01,0.0
-0.01,0.0
0.0,-0.01
-0.01,0.0
-0.01,0.0
-0.01,0.0
0.0,-0.01
0.0,-0.01
-0.01,0.0
0.0,-0.01
0.0,-0.01
-0.01,0.0
0.0,-0.01
-0.01,0.0
-0.01,0.0
-0.01,0.0
-0.01,0.0
-0.01,0.0
0.0,-0.01
0.0,-0.01
-0.01,0.1
-0.01,0.0
0.0,-0.01
0.0,-0.01
-0.01,0.0
-0.01,0.0
0.0,-0.01
-0.01,0.0
0.0,-0.01
0.0,-0.01
-0.01,0.0
-0.01,0.0
-0.01,0.0
-0.01,0.0
-0.01,0.0
0.0,-0.01
-0.01,0.0
-0.01,0.0
-0.01,0.0
0.0,-0.01
0.0,-0.01
0.0,-0.01
0.0,-0.01
-0.01,0.0
-0.01,0.0
0.0,-0.01
-0.01,0.0
-0.01,0.0
-0.01,0.0
0.0,-0.01
0.0,-0.01
-0.01,0.0
-0.01,0.0
0.0,-0.01
-0.01,0.0
0.0,-0.01
0.0,-0.01
-0.01,0.0
0.0,-0.01
-0.01,0.0
0.0,-0.01
0.0,-0.01
-0.01,0.0
0.0,-0.01
-0.01,0.0
0.0,-0.01
0.0,-0.01
-0.01,0.0
-0.01,0.0
-0.01,0.0
0.0,-0.01
-0.01,0.0
0.0,-0.01
0.0,-0.01
0.0,-0.01
0.0,-0.01
0.0,-0.01
0.0,-0.01
-0.01,0.0
0.0,-0.01
0.0,-0.01
-0.01,0.0
0.0,-0.01
-0.01,0.0
-0.01,0.0
0.0,-0.01
0.0,-0.01
0.0,-0.01
-0.01,0.0
0.0,-0.01
-0.01,0.0
0.0,-0.01
-0.01,0.0
0.0,-0.01
0.0,-0.01
0.0,-0.01
0.0,-0.01
-0.01,0.0
-0.01,0.0
0.0,-0.01
0.0,-0.01
0.0,-0.01
0.0,-0.01
0.0,-0.01
0.0,-0.01
-0.01,0.0
0.0,-0.01
-0.01,0.0
0.0,-0.01
-0.01,0.0
-0.01,0.0
0.0,-0.01
-0.01,0.0
0.0,-0.01
-0.01,0.0
-0.01,0.0
0.0,-0.01
0.0,-0.01
0.1,-0.01
0.0,-0.01
0.0,-0.01
-0.01,0.0
-0.01,0.0
0.0,-0.01
-0.01,0.0
0.0,-0.01
-0.01,0.0
0.0,-0.01
0.0,-0.01
0.0,-0.01
-0.01,0.0
-0.01,0.0
0.0,-0.01
-0.01,0.0
-0.01,0.0
-0.01,0.0
-0.01,0.0
-0.01,0.0
0.0,-0.01
0.0,-0.01
0.0,-0.01
0.0,-0.01
-0.01,0.0
0.0,-0.01
-0.01,0.0
-0.01,0.0
-0.01,0.0
-0.01,0.0
-0.01,0.0
-0.01,0.0
0.0,-0.01
0.0,-0.01
-0.01,0.0
-0.01,0.0
0.0,-0.01
0.0,-0.01
0.0,-0.01
0.0,-0.01
0.0,-0.01
0.0,-0.01
-0.01,0.0
-0.01,0.0
0.0,-0.01
-0.01,0.0
0.0,-0.01
0.0,-0.01
0.0,-0.01
0.0,-0.01
-0.01,0.0
-0.01,0.0
0.0,-0.01
-0.01,0.0
0.0,-0.01
-0.01,0.0
-0.01,0.0
-0.01,0.0
-0.01,0.0
0.0,-0.01
-0.01,0.0
0.0,-0.01
0.0,-0.01
-0.01,0.0
-0.01,0.0
0.0,-0.01
0.0,-0.01
0.0,-0.01
-0.01,0.0
0.0,-0.01
0.0,-0.01
0.0,-0.01
0.0,-0.01
0.0,-0.01
0.0,-0.01
-0.01,0.0
-0.01,0.0
-0.01,0.0
-0.01,0.0
0.0,-0.01
-0.01,0.0
-0.01,0.0
0.0,-0.01
-0.01,0.0
-0.01,0.0
-0.01,0.0
0.0,-0.01
0.0,-0.01
0.0,-0.01
-0.01,0.0
0.0,-0.01
-0.01,0.0
-0.01,0.0
0.0,-0.01
-0.01,0.0
-0.01,0.0
0.0,-0.01
-0.01,0.0
0.0,-0.01
-0.01,0.0
0.0,-0.01
-0.01,0.0
0.0,-0.01
0.0,-0.01
0.0,-0.01
0.0,-0.01
-0.01,0.0
0.0,-0.01
-0.01,0.0
-0.01,0.0
-0.01,0.0
-0.01,0.0
0.0,-0.01
-0.01,0.0
-0.01,0.0
0.0,-0.01
-0.01,0.0
-0.01,0.0
0.0,-0.01
0.0,-0.01
0.0,-0.01
0.0,-0.01
0.0,-0.01
-0.01,0.0
-0.01,0.0
-0.01,0.0
-0.01,0.0
-0.01,0.0
0.0,-0.01
-0.01,0.0
0.0,-0.01
0.0,-0.01
-0.01,0.0
-0.01,0.0
0.0,-0.01
-0.01,0.0
0.0,-0.01
-0.01,0.0
-0.01,0.0
0.0,-0.01
-0.01,0.0
0.0,-0.01
-0.01,0.0
0.0,-0.01
-0.01,0.0
0.0,-0.01
-0.01,0.0
-0.01,0.0
0.0,-0.01
-0.01,0.0
-0.01,0.0
-0.01,0.0
0.0,-0.01
-0.01,0.0
0.0,-0.01
0.0,-0.01
0.0,-0.01
-0.01,0.0
0.0,-0.01
-0.01,0.0
0.0,-0.01
-0.01,0.0
-0.01,0.0
0.0,-0.01
-0.01,0.0
-0.01,0.0
0.0,-0.01
-0.01,0.0
-0.01,0.0
-0.01,0.0
-0.01,0.0
-0.01,0.0
0.0,-0.01
0.0,-0.01
0.0,-0.01
-0.01,0.0
0.0,-0.01
-0.01,0.0
-0.01,0.0
-0.01,0.0
0.0,-0.01
-0.01,0.0
-0.01,0.0
-0.01,0.0
-0.01,0.0
-0.01,0.0
-0.01,0.0
0.0,-0.01
-0.01,0.0
0.0,-0.01
-0.01,0.0
-0.01,0.0
0.0,-0.01
0.0,-0.01
-0.01,0.0
0.0,-0.01
-0.01,0.0
0.0,-0.01
0.0,-0.01
-0.01,0.0
0.0,-0.01
-0.01,0.0
0.0,-0.01
-0.01,0.0
-0.01,0.0
-0.01,0.0
0.0,-0.01
-0.01,0.0
0.0,-0.01
-0.01,0.0
-0.01,0.0
-0.01,0.0
-0.01,0.0
0.0,-0.01
0.0,-0.01
-0.01,0.0
0.0,-0.01
-0.01,0.0
-0.01,0.0
-0.01,0.0
0.0,-0.01
0.0,-0.01
-0.01,0.0
-0.01,0.0
0.0,-0.01
0.0,-0.01
-0.01,0.1
-0.01,0.0
0.0,-0.01
0.0,-0.01
-0.01,0.0
0.0,-0.01
0.0,-0.01
0.0,-0.01
-0.01,0.0
-0.01,0.0
0.0,-0.01
0.0,-0.01
-0.01,0.0
0.0,-0.01
-0.01,0.0
0.0,-0.01
0.0,-0.01
0.0,-0.01
0.0,-0.01
0.0,-0.01
0.0,-0.01
0.0,0.09
0.0,-0.01
-0.01,0.0
0.0,-0.01
0.0,-0.01
0.0,-0.01
0.0,-0.01
-0.01,0.0
0.0,-0.01
0.0,-0.01
-0.01,0.0
-0.01,0.0
-0.01,0.0
-0.01,0.0
0.0,-0.01
0.0,-0.01
0.0,-0.01
-0.01,0.0
-0.01,0.0
0.0,-0.01
-0.01,0.0
0.0,-0.01
0.0,-0.01
0.0,-0.01
0.0,-0.01
-0.01,0.0
0.0,-0.01
0.0,-0.01
0.0,0.09
-0.01,0.0
0.0,-0.01
0.0,-0.01
-0.01,0.0
0.0,-0.01
-0.01,0.0
-0.01,0.0
-0.01,0.0
-0.01,0.0
-0.01,0.0
0.0,-0.01
-0.01,0.0
0.0,-0.01
-0.01,0.0
-0.01,0.0
0.0,-0.01
0.0,-0.01
0.0,-0.01
-0.01,0.0
0.0,-0.01
-0.01,0.0
0.0,0.09
-0.01,0.0
-0.01,0.0
-0.01,0.0
-0.01,0.0
0.0,-0.01
0.0,-0.01
0.0,-0.01
0.0,-0.01
-0.01,0.0
0.0,-0.01
0.0,-0.01
0.0,-0.01
0.0,-0.01
0.0,-0.01
0.0,-0.01
0.0,-0.01
0.0,-0.01
-0.01,0.0
0.0,-0.01
-0.01,0.0
0.0,-0.01
-0.01,0.0
0.0,-0.01
-0.01,0.0
0.0,-0.01
0.0,-0.01
-0.01,0.0
-0.01,0.0
-0.01,0.0
-0.01,0.0
-0.01,0.0
-0.01,0.0
0.0,0.09
-0.01,0.0
-0.01,0.0
0.0,-0.01
-0.01,0.0
-0.01,0.0
0.0,-0.01
-0.01,0.0
-0.01,0.0
0.0,-0.01
-0.01,0.0
-0.01,0.0
0.0,-0.01
0.0,-0.01
-0.01,0.0
0.0,-0.01
0.0,-0.01
0.0,-0.01
0.0,-0.01
0.0,-0.01
-0.01,0.0
0.0,-0.01
0.0,-0.01
-0.01,0.0
-0.01,0.0
-0.01,0.0
0.0,-0.01
-0.01,0.0
-0.01,0.0
0.0,-0.01
0.0,-0.01
-0.01,0.0
-0.01,0.0
0.0,-0.01
0.1,-0.01
-0.01,0.0
-0.01,0.0
0.0,-0.01
0.0,-0.01
0.1,-0.01
0.0,-0.01
0.0,-0.01
0.0,-0.01
-0.01,0.0
0.0,0.09
-0.01,0.0
-0.01,0.0
-0.01,0.0
0.0,-0.01
0.0,-0.01
-0.01,0.0
-0.01,0.0
-0.01,0.1
-0.01,0.0
-0.01,0.0
0.0,-0.01
0.0,-0.01
-0.01,0.0
-0.01,0.0
-0.01,0.1
-0.01,0.0
0.0,-0.01
-0.01,0.0
-0.01,0.0
0.0,-0.01
0.0,-0.01
0.0,-0.01
0.1,-0.01
-0.01,0.0
-0.01,0.0
0.0,-0.01
-0.01,0.0
-0.01,0.0
0.0,-0.01
0.0,-0.01
0.0,-0.01
0.0,-0.01
0.0,-0.01
0.0,-0.01
0.0,-0.01
-0.01,0.0
-0.01,0.0
0.0,-0.01
-0.01,0.0
0.0,-0.01
0.0,-0.01
0.0,-0.01
0.0,-0.01
0.0,-0.01
0.0,-0.01
-0.01,0.0
0.0,-0.01
-0.01,0.0
0.0,-0.01
-0.01,0.0
0.0,-0.01
0.0,-0.01
0.0,-0.01
0.1,-0.01
0.0,-0.01
-0.01,0.0
0.1,-0.01
0.1,-0.01
0.0,-0.01
-0.01,0.0
-0.01,0.0
-0.01,0.0
0.0,-0.01
0.0,-0.01
-0.01,0.0
-0.01,0.0
-0.01,0.0
0.0,-0.01
0.0,-0.01
0.0,-0.01
0.0,-0.01
-0.01,0.0
0.0,-0.01
0.0,-0.01
0.0,-0.01
-0.01,0.0
0.0,-0.01
0.1,-0.01
-0.01,0.0
-0.01,0.0
-0.01,0.0
0.0,-0.01
-0.01,0.0
0.0,-0.01
0.0,-0.01
-0.01,0.0
0.0,-0.01
-0.01,0.0
0.0,-0.01
0.0,-0.01
0.0,-0.01
-0.01,0.0
-0.01,0.0
-0.01,0.0
-0.01,0.0
0.1,-0.01
0.0,-0.01
-0.01,0.0
0.0,-0.01
-0.01,0.0
-0.01,0.0
0.0,-0.01
0.0,-0.01
-0.01,0.0
0.0,-0.01
-0.01,0.0
0.0,-0.01
-0.01,0.0
0.0,-0.01
-0.01,0.0
0.0,-0.01
0.0,-0.01
-0.01,0.0
-0.01,0.0
-0.01,0.0
0.0,-0.01
-0.01,0.1
-0.01,0.0
0.0,-0.01
-0.01,0.0
0.0,-0.01
0.0,-0.01
0.0,-0.01
-0.01,0.0
-0.01,0.0
-0.01,0.0
0.0,-0.01
0.0,-0.01
0.0,-0.01
0.0,-0.01
-0.01,0.0
0.0,-0.01
0.0,-0.01
0.0,-0.01
-0.01,0.0
0.0,-0.01
-0.01,0.0
-0.01,0.0
0.0,-0.01
-0.01,0.0
0.0,-0.01
-0.01,0.0
0.0,-0.01
-0.01,0.0
0.0,-0.01
-0.01,0.0
0.0,-0.01
-0.01,0.0
0.0,-0.01
-0.01,0.0
-0.01,0.0
-0.01,0.0
-0.01,0.0
-0.01,0.1
-0.01,0.0
0.0,-0.01
-0.01,0.0
0.0,-0.01
0.0,-0.01
-0.01,0.0
0.0,-0.01
0.0,-0.01
-0.01,0.0
-0.01,0.0
0.0,-0.01
0.0,-0.01
0.0,-0.01
-0.01,0.0
0.0,-0.01
-0.01,0.0
0.0,-0.01
-0.01,0.0
0.0,-0.01
-0.01,0.0
0.0,-0.01
-0.01,0.0
0.0,-0.01
0.0,-0.01
-0.01,0.0
0.0,-0.01
-0.01,0.0
-0.01,0.0
-0.01,0.0
0.0,-0.01
-0.01,0.0
0.0,-0.01
0.0,-0.01
0.0,-0.01
0.0,-0.01
-0.01,0.0
-0.01,0.0
0.0,-0.01
0.0,-0.01
0.0,-0.01
0.0,-0.01
-0.01,0.0
0.0,-0.01
-0.01,0.0
0.0,-0.01
-0.01,0.0
-0.01,0.0
-0.01,0.0
-0.01,0.0
-0.01,0.0
-0.01,0.0
-0.01,0.0
0.1,-0.01
-0.01,0.0
0.0,-0.01
0.0,-0.01
0.1,-0.01
-0.01,0.0
0.0,0.09
-0.01,0.0
0.0,-0.01
0.0,-0.01
0.0,-0.01
-0.01,0.0
0.0,-0.01
-0.01,0.0
0.0,-0.01
-0.01,0.0
0.0,-0.01
0.0,-0.01
0.0,-0.01
0.1,-0.01
0.0,-0.01
0.1,-0.01
-0.01,0.1
-0.01,0.0
0.0,-0.01
-0.01,0.0
-0.01,0.0
-0.01,0.0
0.0,-0.01
-0.01,0.0
0.0,-0.01
0.0,-0.01
-0.01,0.0
0.0,-0.01
0.0,-0.01
-0.01,0.0
-0.01,0.0
-0.01,0.0
0.0,-0.01
-0.01,0.0
-0.01,0.0
-0.01,0.0
0.0,-0.01
0.0,-0.01
-0.01,0.0
0.0,-0.01
-0.01,0.0
-0.01,0.0
-0.01,0.0
-0.01,0.0
-0.01,0.0
0.0,-0.01
-0.01,0.0
0.0,-0.01
0.0,-0.01
0.0,-0.01
-0.01,0.0
-0.01,0.0
-0.01,0.0
-0.01,0.0
0.0,-0.01
0.0,-0.01
0.0,-0.01
0.0,-0.01
0.0,-0.01
0.0,-0.01
-0.01,0.0
-0.01,0.0
-0.01,0.1
0.0,-0.01
0.0,-0.01
0.0,-0.01
-0.01,0.0
0.0,-0.01
-0.01,0.0
0.0,-0.01
-0.01,0.0
0.0,-0.01
-0.01,0.0
0.0,-0.01
-0.01,0.0
0.0,-0.01
0.0,-0.01
-0.01,0.0
0.0,-0.01
0.0,-0.01
-0.01,0.0
-0.01,0.0
-0.01,0.0
-0.01,0.0
-0.01,0.0
-0.01,0.0
0.0,0.09
-0.01,0.0
0.0,-0.01
0.0,-0.01
-0.01,0.0
-0.01,0.0
0.0,-0.01
0.0,-0.01
-0.01,0.0
0.1,-0.01
-0.01,0.0
-0.01,0.0
0.0,-0.01
0.0,-0.01
0.0,-0.01
-0.01,0.0
0.0,-0.01
-0.01,0.0
-0.01,0.0
-0.01,0.0
0.0,-0.01
0.0,-0.01
-0.01,0.0
-0.01,0.0
-0.01,0.0
-0.01,0.0
0.0,-0.01
0.0,-0.01
0.0,-0.01
0.1,-0.01
0.0,-0.01
0.0,-0.01
-0.01,0.0
0.0,-0.01
0.0,-0.01
0.0,-0.01
-0.01,0.0
-0.01,0.0
-0.01,0.0
-0.01,0.0
0.0,-0.01
0.0,-0.01
-0.01,0.1
0.0,-0.01
-0.01,0.0
0.0,-0.01
-0.01,0.0
-0.01,0.0
0.0,-0.01
-0.01,0.0
0.0,-0.01
0.0,-0.01
-0.01,0.0
-0.01,0.0
-0.01,0.0
-0.01,0.0
0.0,-0.01
0.0,-0.01
0.0,-0.01
-0.01,0.0
0.0,-0.01
-0.01,0.0
0.0,-0.01
0.0,-0.01
-0.01,0.0
-0.01,0.0
-0.01,0.0
0.0,-0.01
0.0,-0.01
-0.01,0.0
0.0,-0.01
-0.01,0.0
0.0,-0.01
-0.01,0.0
0.0,-0.01
0.0,-0.01
0.0,-0.01
-0.01,0.0
0.0,-0.01
-0.01,0.0
0.0,-0.01
0.0,-0.01
0.1,-0.01
0.0,-0.01
0.1,-0.01
0.0,-0.01
0.0,-0.01
-0.01,0.0
-0.01,0.1
0.0,-0.01
0.0,-0.01
0.0,-0.01
0.0,-0.01
0.0,-0.01
0.1,0.09
-0.01,0.0
-0.01,0.0
-0.01,0.0
0.0,-0.01
-0.01,0.0
0.0,-0.01
-0.01,0.0
0.0,-0.01
-0.01,0.0
0.1,-0.01
-0.01,0.0
0.0,-0.01
0.0,-0.01
0.0,-0.01
-0.01,0.0
0.1,-0.01
-0.01,0.0
-0.01,0.0
0.0,-0.01
-0.01,0.0
-0.01,0.0
-0.01,0.0
0.0,-0.01
0.0,-0.01
0.0,-0.01
0.0,-0.01
-0.01,0.0
-0.01,0.0
0.0,-0.01
-0.01,0.0
-0.01,0.0
-0.01,0.0
-0.01,0.0
0.0,-0.01
-0.01,0.0
-0.01,0.0
-0.01,0.0
0.0,-0.01
0.0,-0.01
0.0,-0.01
0.0,-0.01
-0.01,0.0
0.0,-0.01
0.0,-0.01
-0.01,0.0
-0.01,0.0
0.0,-0.01
-0.01,0.0
-0.01,0.0
-0.01,0.0
-0.01,0.0
-0.01,0.0
0.0,-0.01
0.0,-0.01
-0.01,0.0
0.0,-0.01
-0.01,0.0
0.0,-0.01
0.0,-0.01
0.0,-0.01
-0.01,0.0
0.0,-0.01
0.0,-0.01
0.0,-0.01
0.0,-0.01
0.0,-0.01
0.0,-0.01
-0.01,0.0
-0.01,0.0
-0.01,0.0
0.0,-0.01
-0.01,0.0
0.0,-0.01
-0.01,0.0
-0.01,0.0
-0.01,0.0
-0.01,0.0
0.0,-0.01
-0.01,0.0
0.0,-0.01
0.0,-0.01
-0.01,0.1
-0.01,0.0
0.0,-0.01
0.0,-0.01
0.0,-0.01
0.0,-0.01
-0.01,0.0
0.0,-0.01
0.0,-0.01
-0.01,0.0
0.1,-0.01
0.0,-0.01
-0.01,0.0
-0.01,0.0
0.0,-0.01
-0.01,0.0
-0.01,0.0
0.0,-0.01
-0.01,0.0
-0.01,0.0
0.0,-0.01
-0.01,0.0
-0.01,0.0
-0.01,0.0
0.0,-0.01
-0.01,0.0
-0.01,0.0
0.0,-0.01
0.0,-0.01
-0.01,0.0
-0.01,0.0
0.0,-0.01
-0.01,0.0
0.0,-0.01
-0.01,0.0
-0.01,0.0
0.0,-0.01
0.0,-0.01
-0.01,0.0
-0.01,0.0
-0.01,0.0
-0.01,0.0
0.0,-0.01
-0.01,0.1
0.0,-0.01
-0.01,0.0
0.0,-0.01
-0.01,0.0
-0.01,0.0
-0.01,0.0
0.1,-0.01
0.0,-0.01
0.0,-0.01
0.0,-0.01
0.0,-0.01
-0.01,0.0
0.0,-0.01
0.0,-0.01
-0.01,0.0
0.1,-0.01
0.0,-0.01
0.0,-0.01
0.0,-0.01
0.0,-0.01
0.0,-0.01
0.0,-0.01
-0.01,0.0
-0.01,0.0
0.0,-0.01
0.0,-0.01
